Rooms,Square,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Shops_2,Price,LifePart,Square_type_0,Square_type_1,Square_type_2
2.0,47.98156123517504,7,9.0,1969,0.089039719,0,0,33,7976,5,0,11,0,184966.9307298416,4.907125091189027,0,0,1
3.0,65.68363987232782,7,9.0,1978,6.99893e-05,0,0,46,10309,1,1,16,0,300009.4500627274,5.006192815445681,1,0,0
2.0,44.947952764125,8,12.0,1968,0.049637257,0,0,34,7759,0,1,3,0,220925.90852358093,4.8662686146747,0,0,1
2.0,53.35298135561334,8,17.0,1977,0.43788524,0,0,23,5735,3,0,5,0,175616.22721724625,5.859056894292781,1,0,0
1.0,39.64919195003,11,12.0,1976,0.012338886,0,0,35,5776,1,2,4,0,150226.5316437466,3.396595587271086,0,0,1
3.0,80.38447920267191,5,17.0,2011,0.309479124,0,0,35,7715,4,0,6,0,215898.44774214897,3.890310010686191,0,1,0
2.0,62.2541135864025,3,5.0,1960,0.460556389,0,0,20,4386,14,1,5,0,296021.2043771131,5.308625345555249,1,0,0
2.0,80.31292563185586,14,13.0,1977,0.075778755,0,0,6,1437,3,0,2,0,221244.15666358557,12.38548760530931,0,1,0
2.0,64.51143730838427,9,17.0,1977,0.0071223169999999,0,0,1,264,0,0,1,0,229102.7959994131,63.511437308384274,1,0,0
1.0,46.46140869718414,13,17.0,2014,0.075778755,0,0,6,1437,3,0,2,0,95380.22099316985,2.364444060484846,0,0,1
2.0,46.304906773325854,8,9.0,1973,0.118537385,0,0,30,6207,1,1,0,0,204243.55312879704,4.653764074522377,0,0,1
3.0,68.80885909839964,1,8.0,1959,0.0,0,0,23,3684,2,0,4,0,165534.5414246522,6.533843662774566,1,0,0
2.0,54.522804902937104,8,12.0,1999,0.090799103,0,0,74,19083,2,5,15,0,229220.3726091401,31.75975305618809,1,0,0
3.0,68.10273923286483,6,12.0,1980,0.133215333,0,0,49,11395,3,3,4,1,252481.9083226248,4.913936632016813,1,0,0
1.0,53.76909713652528,5,4.0,1977,0.072157581,0,0,2,629,1,0,0,1,140647.56593684404,52.40802696611313,1,0,0
